aX,aY,aZ
-0.092,-0.613,0.696
-0.092,-0.613,0.693
-0.093,-0.604,0.702
-0.091,-0.595,0.712
-0.081,-0.59,0.736
-0.07,-0.585,0.753
-0.065,-0.595,0.771
-0.057,-0.601,0.798
-0.054,-0.613,0.811
-0.054,-0.616,0.837
-0.053,-0.616,0.859
-0.054,-0.602,0.871
-0.066,-0.585,0.866
-0.076,-0.571,0.838
-0.074,-0.573,0.812
-0.077,-0.572,0.801
-0.085,-0.559,0.805
-0.111,-0.522,0.81
-0.123,-0.517,0.793
-0.114,-0.533,0.795
-0.092,-0.549,0.817
-0.081,-0.562,0.832
-0.077,-0.574,0.835
-0.08,-0.573,0.833
-0.084,-0.577,0.817
-0.061,-0.591,0.806
-0.025,-0.622,0.803
-0.02,-0.628,0.802
-0.029,-0.624,0.789
-0.04,-0.625,0.777
-0.042,-0.621,0.777
-0.05,-0.615,0.783
-0.058,-0.609,0.793
-0.066,-0.612,0.807
-0.069,-0.613,0.805
-0.077,-0.609,0.8
-0.074,-0.603,0.789
-0.078,-0.593,0.792
-0.08,-0.585,0.797
-0.085,-0.581,0.806
-0.083,-0.566,0.816
-0.08,-0.559,0.818
-0.071,-0.587,0.807
-0.05,-0.622,0.807
-0.027,-0.651,0.821
-0.024,-0.641,0.821
-0.041,-0.612,0.823
-0.063,-0.595,0.815
-0.074,-0.593,0.804
-0.085,-0.6,0.782
-0.094,-0.618,0.778
-0.096,-0.62,0.797
-0.091,-0.633,0.806
-0.074,-0.664,0.825
-0.075,-0.671,0.849
-0.091,-0.659,0.863
-0.112,-0.629,0.86
-0.098,-0.639,0.852
-0.088,-0.641,0.827
-0.085,-0.62,0.844
-0.098,-0.572,0.865
-0.104,-0.564,0.854
-0.099,-0.583,0.833
-0.084,-0.588,0.823
-0.079,-0.582,0.817
-0.075,-0.578,0.817
-0.076,-0.58,0.815
-0.073,-0.588,0.794
0.486,-1.443,-0.41
0.494,-1.397,-0.465
0.403,-1.245,-0.511
0.305,-1.104,-0.623
0.14,-1.022,-0.791
-0.061,-0.886,-0.884
-0.1,-0.659,-0.941
-0.073,-0.435,-0.838
0.086,-0.39,-0.743
0.03,-0.371,-0.713
-0.067,-0.444,-0.765
0.08,-0.478,-0.777
0.136,-0.491,-0.708
0.258,-0.538,-0.65
0.247,-0.621,-0.749
0.178,-0.712,-0.887
0.281,-0.773,-0.844
0.302,-0.889,-0.79
0.282,-0.978,-0.796
0.291,-1.107,-0.907
0.327,-1.229,-0.894
0.335,-1.274,-0.882
0.34,-1.278,-0.854
0.374,-1.297,-0.786
0.425,-1.323,-0.726
0.462,-1.297,-0.673
0.467,-1.211,-0.64
0.434,-1.164,-0.606
0.402,-1.083,-0.579
0.387,-1.028,-0.571
0.388,-0.98,-0.582
0.255,-0.942,-0.622
0.346,-0.913,-0.675
0.312,-0.901,-0.666
0.303,-0.887,-0.64
0.3,-0.87,-0.606
0.305,-0.86,-0.574
0.308,-0.857,-0.545
0.329,-0.893,-0.528
0.362,-0.94,-0.51
0.381,-0.978,-0.505
0.376,-0.977,-0.527
0.349,-0.967,-0.528
0.334,-0.936,-0.485
0.323,-0.897,-0.447
0.306,-0.836,-0.427
0.257,-0.752,-0.43
0.222,-0.694,-0.435
0.212,-0.694,-0.409
0.23,-0.721,-0.371
0.26,-0.756,-0.366
0.284,-0.784,-0.375
0.296,-0.836,-0.421
0.299,-0.869,-0.447
0.296,-0.899,-0.455
0.295,-0.921,-0.458
0.318,-0.957,-0.406
0.382,-1.011,-0.336
0.415,-1.031,-0.189
0.434,-0.97,-0.078
0.428,-0.841,-0.031
0.36,-0.787,-0.065
0.3,-0.751,-0.11
0.243,-0.762,-0.113
0.24,-0.79,-0.116
0.236,-0.822,-0.122
0.217,-0.83,-0.12
0.196,-0.825,-0.114
0.18,-0.829,-0.103
0.169,-0.847,-0.087
0.163,-0.876,-0.035
0.166,-0.908,-0.02
0.15,-0.909,-0.003
0.188,-0.921,0.037
0.216,-0.951,0.097
0.259,-0.962,0.165
0.286,-0.972,0.202
0.291,-0.946,0.27
0.287,-0.897,0.318
0.237,-0.855,0.321
0.161,-0.732,0.294
0.098,-0.597,0.273
0.076,-0.513,0.226
0.058,-0.498,0.179
0.07,-0.53,0.125
0.007,-0.573,0.117
-0.025,-0.579,0.147
0.013,-0.606,0.183
0.072,-0.621,0.252
0.101,-0.688,0.365
0.114,-0.681,0.582
0.095,-0.613,0.676
0.157,-0.45,0.715
-0.009,-0.43,0.735
-0.075,-0.373,0.806
-0.117,-0.31,0.935
-0.072,-0.192,0.998
0.06,-0.095,1.009
-0.049,-0.256,0.954
-0.111,-0.292,0.799
-0.136,-0.32,0.687
-0.094,-0.364,0.737
0.008,-0.4,0.94
0.024,-0.387,1.03
0.017,-0.317,1.215
-0.061,-0.252,1.25
-0.021,0.01,1.795
-0.084,-0.034,1.626
-0.277,0.126,1.582
-0.342,0.085,1.405
-0.358,0.136,1.293
-0.331,0.234,1.238
-0.286,0.266,1.17
-0.198,0.217,1.121
-0.128,0.105,0.989
-0.08,-0.088,0.917
-0.023,-0.205,0.889
0.005,-0.435,0.762
0.016,-0.401,0.824
-0.14,-0.668,1.635
-0.04,-0.604,1.711
0.134,-0.387,1.483
0.364,-0.043,1.124
0.41,0.053,0.905
0.379,-0.1,0.845
0.303,-0.051,0.799
0.186,-0.21,0.784
0.122,-0.39,0.778
0.004,-0.454,0.804
-0.081,-0.539,0.816
-0.106,-0.573,0.855
-0.031,-0.526,0.906
